   RS iter        Gamma        Alpha          RSS 
       168       0.1733       0.9492       0.0072 
       169       0.0000       0.0117       0.0072 
       170       0.8030       0.1026       0.0074 
       171       0.0000       0.2217       0.0072 
       172       0.0000       0.2035       0.0072 
       173       0.2302       0.7115       0.0072 
       174       0.0036       0.7708       0.0072 
       175       0.0056       0.1219       0.0072 
       176       0.0000       0.5357       0.0072 
       177       0.2124       0.7809       0.0072 
       178       0.0029       0.3687       0.0072 
       179       0.0885       0.2803       0.0072 
       180       0.0000       0.0461       0.0072 
       181       1.9829       0.6320       0.0081 
       182       0.0002       0.7327       0.0072 
       183       0.0105       0.0461       0.0072 
       184       0.0001       0.0931       0.0072 
       185       0.0000       0.6209       0.0072 
       186       1.5196       0.4680       0.0077 
       187       0.0072       0.4385       0.0072 
       188       0.0001       0.8749       0.0072 
       189       0.0034       0.3277       0.0072 
       190       0.0012       0.5770       0.0072 
       191       0.0139       0.4078       0.0072 
       192       0.0000       0.5564       0.0072 
       193       0.0007       0.6509       0.0072 
       194       0.0001       0.5893       0.0072 
       195       0.0002       0.8593       0.0072 
       196       0.0003       0.0328       0.0072 
       197       0.0040       0.8246       0.0072 
       198       2.4182       0.9620       0.0085 
       199       0.0000       0.5741       0.0072 
       200       0.1342       0.1296       0.0072 
