   RS iter        Gamma        Alpha  PRESS lasso   PRESS Tikh    T elapsed 
       113       2.0452       0.5807       0.2795     772.3673       0.4801
       114       0.0001       0.0902       0.2724       0.2724       0.4686
       115       0.0009       0.2667       0.2724       0.2741       0.4637
       116       0.0061       0.5587       0.2724       0.3523       0.4658
       117       0.4043       0.0887       0.2727     163.7148       0.8625
       118       0.0085       0.6316       0.2724       0.4279       0.4526
       119       0.1814       0.4476       0.2724      49.2412       0.4165
       120       0.0029       0.7824       0.2724       0.2907       0.4168
       121       0.0214       0.9056       0.2724       1.2351       0.4164
       122       0.0000       0.8137       0.2724       0.2724       0.4171
       123       0.5988       0.1810       0.2730     267.9416       0.4179
       124       0.2603       0.9470       0.2725      87.0982       0.4222
       125       0.0041       0.0855       0.2724       0.3096       0.4357
       126       0.0008       0.6706       0.2724       0.2737       0.4019
       127       0.0000       0.8503       0.2724       0.2724       0.4110
       128       0.0015       0.9930       0.2724       0.2775       0.4216
       129       0.0037       0.8179       0.2724       0.3026       0.4182
       130       0.3289       0.1078       0.2726     122.9442       0.4173
       131       0.0000       0.9045       0.2724       0.2724       0.4245
       132       0.0011       0.6464       0.2724       0.2748       0.4237
       133       0.6775       0.0881       0.2732     308.1104       0.4149
       134       0.0137       0.1872       0.2724       0.6740       0.4094
       135       0.0001       0.7961       0.2724       0.2724       0.4166
       136       0.0000       0.8356       0.2724       0.2724       0.4147
       137       1.1711       0.8016       0.2748     522.5832       0.4106
       138       0.0539       0.9726       0.2724       5.9335       0.4139
       139       0.0002       0.3794       0.2724       0.2724       0.4172
       140       1.2052       0.5156       0.2749     535.0744       0.4127
       141       0.0883       0.1145       0.2724      14.3510       0.4141
       142       0.0012       0.6380       0.2724       0.2754       0.4097
       143       0.0003       0.0914       0.2724       0.2725       0.4185
       144       0.0009       0.5564       0.2724       0.2740       0.4179
       145       0.0731       0.4130       0.2724      10.2461       0.4120
       146       0.0400       0.5900       0.2724       3.4871       0.4164
       147       0.9146       0.8494       0.2739     419.2847       0.4124
       148       0.0014       0.4119       0.2724       0.2770       0.4355
       149       0.0000       0.6250       0.2724       0.2724       0.4270
       150       0.0000       0.2568       0.2724       0.2724       0.4152
       151       0.0212       0.8893       0.2724       1.2189       0.4120
       152       0.0000       0.9602       0.2724       0.2724       0.4527
       153       0.0323       0.7625       0.2724       2.4074       0.4176
       154       0.0000       0.9842       0.2724       0.2724       0.4166
       155       0.0205       0.8147       0.2724       1.1522       0.4140
       156       0.0005       0.9896       0.2724       0.2728       0.4150
       157       0.0001       0.4212       0.2724       0.2724       0.4117
       158       0.0000       0.4987       0.2724       0.2724       0.4111
       159       0.0001       0.9073       0.2724       0.2724       0.4078
       160       2.4646       0.2312       0.2827     854.3462       0.4205
       161       0.0000       0.9485       0.2724       0.2724       0.4492
       162       2.5300       0.1782       0.2832     865.6061       0.4090
       163       0.1260       0.5346       0.2724      26.7080       0.4148
       164       0.1304       0.9573       0.2724      28.3419       0.4094
       165       0.0001       0.9902       0.2724       0.2724       0.4135
       166       2.8220       0.0072       0.2857     911.6819       0.4186
       167       2.9311       0.1546       0.2867     927.3283       0.4278
       168       0.0003       0.8308       0.2724       0.2726       0.4332
       169       0.0004       0.4664       0.2724       0.2726       0.4223
       170       0.0882       0.4193       0.2724      14.3081       0.4123
       171       2.7899       0.8153       0.2854     906.9215       0.4164
       172       0.0001       0.0746       0.2724       0.2724       0.4083
       173       0.0029       0.0725       0.2724       0.2911       0.4269
       174       0.0017       0.8835       0.2724       0.2785       0.4385
